
2025/01/09 (01:51:26) | ===> btop++ v.1.4.0
2025/01/09 (01:51:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/09 (15:07:52) | ===> btop++ v.1.4.0
2025/01/09 (15:07:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/11 (16:21:19) | ===> btop++ v.1.4.0
2025/01/11 (16:21:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/16 (13:15:15) | ===> btop++ v.1.4.0
2025/01/16 (13:15:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/17 (17:50:07) | ===> btop++ v.1.4.0
2025/01/17 (17:50:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/17 (18:39:00) | ===> btop++ v.1.4.0
2025/01/17 (18:39:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/28 (21:00:26) | ===> btop++ v.1.4.0
2025/01/28 (21:00:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/30 (12:49:50) | ===> btop++ v.1.4.0
2025/01/30 (12:49:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/30 (14:42:20) | ===> btop++ v.1.4.0
2025/01/30 (14:42:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/31 (12:50:16) | ===> btop++ v.1.4.0
2025/01/31 (12:50:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/01 (13:12:52) | ===> btop++ v.1.4.0
2025/02/01 (13:12:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/12 (11:12:51) | ===> btop++ v.1.4.0
2025/02/12 (11:12:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/12 (15:51:56) | ===> btop++ v.1.4.0
2025/02/12 (15:51:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/24 (13:54:42) | ===> btop++ v.1.4.0
2025/02/24 (13:54:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/24 (13:55:06) | ===> btop++ v.1.4.0
2025/02/24 (13:55:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/18 (15:49:45) | ===> btop++ v.1.4.0
2025/03/18 (15:49:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/29 (14:42:38) | ===> btop++ v.1.4.0
2025/03/29 (14:42:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (17:18:18) | ===> btop++ v.1.4.0
2025/04/01 (17:18:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
